Test
Numero screenShot-Nivel                Label
            4                   : 85.022 -18.7445
            13                   : 82.7394 -9.59169
            15                   : 82.1623 -7.86201
            17                   : 81.5821 -6.27357
            18                   : 81.2908 -5.52418
            19                   : 80.9986 -4.80105
            21                   : 80.4113 -3.42456
            22                   : 80.1162 -2.76721
            25                   : 79.5229 -1.50583
            39                   : 75.5403 5.54914
            40                   : 75.223 6.03934
            43                   : 74.2593 7.48376
            44                   : 73.934 7.95788
            45                   : 86.9943 -32.9583
            48                   : 72.9446 9.36332
            57                   : 70.1902 13.0444
            63                   : 67.9838 15.8118
            69                   : 66.0226 18.1744
            74                   : 63.9142 20.6356
            76                   : 63.0187 21.6604
            84                   : 87.26 -31.4587
            90                   : 85.8471 -20.0369
            94                   : 84.7098 -14.1719
            101                   : 82.699 -7.12883
            109                   : 80.3565 -1.46349
            113                   : 79.1619 0.883086
            116                   : 78.2536 2.51117
            127                   : 74.8087 7.89517
            131                   : 73.5002 9.72215
            133                   : 72.8321 10.6228
            153                   : 65.4093 19.7198
            158                   : 63.2255 22.1966
            170                   : 86.1094 -17.8224
            179                   : 83.5291 -7.06153
            180                   : 83.2396 -6.22195
            188                   : 80.8963 -0.680924
            191                   : 80.0026 1.04314
            194                   : 79.0991 2.64803
            196                   : 78.4907 3.66638
            201                   : 76.9456 6.07864
            206                   : 75.3603 8.35907
            224                   : 69.1694 16.2101
            228                   : 67.6443 17.9918
            230                   : 66.8528 18.9012
            232                   : 66.0393 19.8264
            235                   : 64.7715 21.2512
            242                   : 61.5261 24.8203
            250                   : 86.3746 -15.2298
            256                   : 84.6523 -7.7259
            263                   : 82.6182 -2.21578
            268                   : 81.143 0.797558
            274                   : 79.3408 3.90228
            277                   : 78.4239 5.32493
            282                   : 76.8677 7.57495
            283                   : 76.5517 8.01163
            290                   : 74.2882 10.9931
            296                   : 72.2611 13.5002
            299                   : 71.2105 14.7561
            301                   : 70.494 15.5987
            303                   : 69.7634 16.4478
            308                   : 67.8654 18.6129
            319                   : 63.191 23.7602
            320                   : 62.7186 24.2694
            323                   : 61.2344 25.8587
            326                   : 87.7909 -22.0955
            337                   : 84.63 -5.20358
            338                   : 84.34 -4.3894
            356                   : 78.9877 5.71524
            359                   : 78.062 7.02898
            360                   : 77.7505 7.45741
            362                   : 77.1232 8.30291
            363                   : 76.8071 8.72081
            367                   : 75.5251 10.3684
            371                   : 74.2115 11.9924
            386                   : 68.898 18.1447
            391                   : 66.9331 20.3125
            394                   : 65.6872 21.6673
            404                   : 61.0017 26.661
            410                   : 86.9105 -7.4497
            414                   : 85.7537 -3.47552
            415                   : 85.4635 -2.70041
            418                   : 84.59 -0.678516
            420                   : 84.0049 0.489632
            429                   : 81.3368 4.81718
            437                   : 78.8999 8.06737
            441                   : 77.6508 9.60656
            443                   : 77.0171 10.3655
            444                   : 76.6977 10.7433
            448                   : 75.4019 12.2489
            452                   : 74.073 13.7557
            454                   : 73.3944 14.5135
            475                   : 65.4032 23.0844
            479                   : 63.5965 24.9669
            486                   : 88.3374 -3.30715
            488                   : 87.758 -1.44944
            499                   : 84.5487 3.92376
            501                   : 83.9589 4.66069
            508                   : 81.8723 7.09544
            519                   : 78.4961 10.7647
            523                   : 77.2283 12.1015
            529                   : 75.2741 14.1382
            538                   : 72.1898 17.3142
            540                   : 71.4729 18.0476
            543                   : 70.3715 19.172
            559                   : 63.7233 25.9129
            563                   : 61.7362 27.9176
            567                   : 88.3246 11.5411
            572                   : 86.8633 8.45122
            580                   : 84.5061 8.54673
            583                   : 83.6132 9.01921
            585                   : 83.0144 9.39657
            587                   : 82.4125 9.81143
            591                   : 81.1979 10.7273
            605                   : 76.7936 14.5158
            608                   : 75.8086 15.4168
            619                   : 72.0159 18.9761
            625                   : 69.7873 21.1114
            626                   : 69.4016 21.4832
            628                   : 68.6159 22.2424
            630                   : 67.8095 23.0239
            645                   : 60.748 29.9361
            647                   : 59.5849 31.0832
            648                   : 88.3115 25.187
            650                   : 87.7231 20.1555
            655                   : 86.2472 14.8465
            661                   : 84.4622 13.1325
            664                   : 83.5617 12.9952
            671                   : 81.4329 13.5369
            676                   : 79.8819 14.3545
            682                   : 77.9775 15.6213
            687                   : 76.3455 16.852
            691                   : 75.0039 17.9318
            693                   : 74.3192 18.501
            695                   : 73.6241 19.0893
            703                   : 70.7195 21.637
            706                   : 69.5678 22.6779
            710                   : 67.9643 24.1489
            714                   : 66.2657 25.7298
            715                   : 65.8233 26.1449
            722                   : 62.4614 29.3341
            723                   : 61.933 29.8403
            730                   : 88.0015 32.6492
            745                   : 83.5085 16.9122
            746                   : 83.2043 16.7678
            749                   : 82.2865 16.5432
            750                   : 81.9788 16.5258
            759                   : 79.1588 17.2253
            769                   : 75.8828 19.1139
            771                   : 75.2037 19.5847
            773                   : 74.5149 20.0818
            774                   : 74.1667 20.3399
            776                   : 73.4618 20.8746
            778                   : 72.745 21.4336
            788                   : 68.9362 24.5988
            793                   : 66.8433 26.4388
            799                   : 64.082 28.9407
            801                   : 63.0792 29.8659
            803                   : 62.0224 30.8489
            808                   : 59.0548 33.6474
            813                   : 87.3864 34.7658
            814                   : 87.0867 32.3407
            815                   : 86.7867 30.3089
            821                   : 84.9773 23.2007
            828                   : 82.8386 20.2001
            832                   : 81.5979 19.6127
            833                   : 81.2851 19.545
            834                   : 80.9712 19.503
            842                   : 78.4129 19.8764
            844                   : 77.758 20.1197
            845                   : 77.4278 20.2589
            848                   : 76.4257 20.7396
            855                   : 74.0076 22.1776
            857                   : 73.2924 22.6601
            863                   : 71.0654 24.2829
            871                   : 67.8473 26.8631
            876                   : 65.6302 28.7532
            879                   : 64.1929 30.0152
            880                   : 63.6915 30.4613
            897                   : 86.4564 34.3278
            899                   : 85.849 31.1312
            903                   : 84.628 26.8946
            907                   : 83.3964 24.4438
            914                   : 81.2072 22.4768
            916                   : 80.5718 22.2525
            922                   : 78.6329 22.1514
            923                   : 78.3043 22.2008
            936                   : 73.8414 24.0119
            938                   : 73.1151 24.444
            939                   : 72.747 24.673
            950                   : 68.4184 27.7518
            955                   : 66.218 29.5129
            961                   : 63.269 32.0107
            973                   : 87.9503 53.5959
            978                   : 86.4254 39.4567
            979                   : 86.1192 37.5708
            985                   : 84.2708 30.1156
            987                   : 83.6492 28.6266
            1000                   : 79.5109 24.6251
            1006                   : 77.5206 24.5496
            1010                   : 76.1545 24.8402
            1026                   : 70.2218 27.8747
            1027                   : 69.8163 28.1487
            1034                   : 66.8032 30.3478
            1042                   : 62.8082 33.5942
            1044                   : 61.663 34.576
            1045                   : 61.0587 35.1018
            1046                   : 60.4292 35.6545
            1047                   : 59.7708 36.2382
            1052                   : 55.7938 39.8671
            1061                   : 85.7749 40.2525
            1064                   : 84.843 35.9948
            1068                   : 83.5909 32.1398
            1076                   : 81.0421 28.1369
            1079                   : 80.0665 27.4158
            1082                   : 79.0776 26.9766
            1088                   : 77.0516 26.7363
            1094                   : 74.9454 27.1285
            1099                   : 73.1111 27.8257
            1101                   : 72.3528 28.1864
            1104                   : 71.1843 28.8093
            1108                   : 69.5579 29.7896
            1112                   : 67.835 30.9444
            1113                   : 67.3861 31.2618
            1118                   : 65.0027 33.0423
            1122                   : 62.8749 34.7448
            1124                   : 61.7062 35.7172
            1126                   : 60.4417 36.7952
Train
            0                   : 88.3943 -51.9974
            1                   : 88.1147 -47.2423
            2                   : 85.5874 -21.9338
            3                   : 85.305 -20.275
            5                   : 84.7386 -17.326
            6                   : 84.4548 -16.0057
            7                   : 84.1704 -14.7718
            8                   : 83.8854 -13.6143
            9                   : 83.5999 -12.5245
            10                   : 83.3137 -11.495
            11                   : 83.0269 -10.5192
            12                   : 87.8349 -43.0191
            14                   : 82.4513 -8.70737
            16                   : 81.8726 -7.05187
            20                   : 80.7054 -4.10188
            23                   : 87.5549 -39.2697
            24                   : 79.8201 -2.12814
            26                   : 79.2246 -0.898919
            27                   : 78.9251 -0.30613
            28                   : 78.6244 0.273674
            29                   : 78.3225 0.841519
            30                   : 78.0193 1.39837
            31                   : 77.7147 1.9451
            32                   : 77.4087 2.48249
            33                   : 77.1013 3.01131
            34                   : 87.2747 -35.9346
            35                   : 76.7923 3.53224
            36                   : 76.4818 4.04591
            37                   : 76.1697 4.55293
            38                   : 75.8559 5.05383
            41                   : 74.9037 6.52489
            42                   : 74.5825 7.00623
            46                   : 73.6065 8.42894
            47                   : 73.2767 8.89731
            49                   : 72.61 9.82732
            50                   : 72.2728 10.2896
            51                   : 71.933 10.7505
            52                   : 71.5905 11.2103
            53                   : 71.245 11.6693
            54                   : 70.8966 12.1278
            55                   : 70.545 12.586
            56                   : 86.7136 -30.291
            58                   : 69.8319 13.5031
            59                   : 69.4701 13.9624
            60                   : 69.1046 14.4226
            61                   : 68.7352 14.8841
            62                   : 68.3616 15.3471
            64                   : 67.6016 16.2788
            65                   : 67.2145 16.7481
            66                   : 66.8226 17.2203
            67                   : 86.4326 -27.8894
            68                   : 66.4253 17.6956
            70                   : 65.614 18.6571
            71                   : 65.1993 19.1442
            72                   : 64.778 19.6359
            73                   : 64.3498 20.1329
            75                   : 63.4706 21.1446
            77                   : 62.5578 22.1838
            78                   : 86.1512 -25.7163
            79                   : 62.0871 22.7154
            80                   : 88.3856 -47.4334
            81                   : 88.1045 -42.5724
            82                   : 87.8232 -38.3516
            83                   : 87.5417 -34.6758
            85                   : 86.978 -28.6256
            86                   : 86.6958 -26.1142
            87                   : 86.4132 -23.8727
            88                   : 86.1303 -21.8585
            89                   : 85.8695 -23.74
            91                   : 85.5634 -18.3791
            92                   : 85.2794 -16.8615
            93                   : 84.9948 -15.4645
            95                   : 84.4243 -12.97
            96                   : 84.1383 -11.8473
            97                   : 83.8517 -10.7942
            98                   : 83.5645 -9.80229
            99                   : 83.2767 -8.86469
            100                   : 82.9882 -7.97528
            102                   : 82.4091 -6.32082
            103                   : 82.1185 -5.54731
            104                   : 81.827 -4.80485
            105                   : 81.5347 -4.09039
            106                   : 81.2416 -3.40126
            107                   : 80.9475 -2.73511
            108                   : 80.6525 -2.0898
            110                   : 80.0595 -0.854468
            111                   : 79.7614 -0.261255
            112                   : 79.4623 0.317524
            114                   : 78.8604 1.43655
            115                   : 78.5577 1.97894
            117                   : 77.9483 3.03407
            118                   : 77.6415 3.54843
            119                   : 77.3333 4.05495
            120                   : 77.0236 4.55431
            121                   : 76.7123 5.0471
            122                   : 76.3994 5.53389
            123                   : 76.0849 6.01521
            124                   : 75.7686 6.49156
            125                   : 75.4506 6.96338
            126                   : 75.1306 7.43112
            128                   : 74.4848 8.35595
            129                   : 74.1588 8.81381
            130                   : 73.8306 9.26909
            132                   : 73.1674 10.1733
            134                   : 72.4943 11.0711
            135                   : 72.1539 11.5183
            136                   : 71.8107 11.9649
            137                   : 71.4647 12.411
            138                   : 71.1156 12.8569
            139                   : 70.7634 13.3029
            140                   : 70.408 13.7494
            141                   : 70.0491 14.1965
            142                   : 69.6867 14.6446
            143                   : 69.3206 15.0938
            144                   : 68.9506 15.5446
            145                   : 68.5764 15.9971
            146                   : 68.1981 16.4518
            147                   : 67.8152 16.9088
            148                   : 67.4276 17.3685
            149                   : 67.035 17.8313
            150                   : 66.6372 18.2974
            151                   : 66.2339 18.7673
            152                   : 65.8247 19.2412
            154                   : 64.9874 20.2032
            155                   : 64.5586 20.6921
            156                   : 64.1223 21.1869
            157                   : 63.6782 21.6882
            159                   : 62.7639 22.7127
            160                   : 62.2925 23.2372
            161                   : 61.8106 23.771
            162                   : 88.377 -41.9757
            163                   : 88.0944 -37.1424
            164                   : 87.8116 -33.0529
            165                   : 87.5285 -29.5653
            166                   : 87.2453 -26.563
            167                   : 86.9618 -23.9534
            168                   : 86.678 -21.6631
            169                   : 86.3939 -19.6347
            171                   : 85.8246 -16.1903
            172                   : 85.5394 -14.7091
            173                   : 85.2537 -13.3558
            174                   : 84.9676 -12.1112
            175                   : 84.681 -10.96
            176                   : 84.3939 -9.88919
            177                   : 84.1062 -8.88823
            178                   : 83.818 -7.94816
            181                   : 82.9494 -5.42398
            182                   : 82.6585 -4.66296
            183                   : 82.3669 -3.93488
            184                   : 82.0745 -3.23626
            185                   : 81.7813 -2.56405
            186                   : 81.4872 -1.91561
            187                   : 81.1922 -1.28859
            189                   : 80.5994 -0.0908204
            190                   : 80.3016 0.483394
            192                   : 79.7026 1.58974
            193                   : 79.4015 2.12435
            195                   : 78.7956 3.16175
            197                   : 78.1845 4.1627
            198                   : 77.877 4.65144
            199                   : 77.568 5.13327
            200                   : 77.2576 5.60882
            202                   : 76.632 6.54326
            203                   : 76.3167 7.00317
            204                   : 75.9997 7.45882
            205                   : 75.681 7.91066
            207                   : 75.0378 8.80443
            208                   : 74.7132 9.24711
            209                   : 74.3865 9.68744
            210                   : 74.0577 10.1258
            211                   : 73.7266 10.5624
            212                   : 73.3932 10.9976
            213                   : 73.0573 11.4317
            214                   : 72.7189 11.8649
            215                   : 72.3779 12.2976
            216                   : 72.0341 12.73
            217                   : 71.6874 13.1624
            218                   : 71.3378 13.595
            219                   : 70.985 14.0281
            220                   : 70.629 14.462
            221                   : 70.2696 14.8968
            222                   : 69.9066 15.333
            223                   : 69.54 15.7707
            225                   : 68.7947 16.6517
            226                   : 68.4158 17.0957
            227                   : 68.0324 17.5422
            229                   : 67.2512 18.4447
            231                   : 66.449 19.3616
            233                   : 65.6234 20.296
            234                   : 65.2009 20.7708
            236                   : 64.3347 21.7377
            237                   : 63.89 22.2309
            238                   : 63.4368 22.7314
            239                   : 62.9746 23.2398
            240                   : 62.5026 23.7569
            241                   : 62.02 24.2834
            243                   : 88.3684 -35.503
            244                   : 88.0843 -30.9087
            245                   : 87.7999 -27.1284
            246                   : 87.5154 -23.9712
            247                   : 87.2306 -21.2952
            248                   : 86.9456 -18.9954
            249                   : 86.6603 -16.9933
            251                   : 86.0886 -13.6599
            252                   : 85.8022 -12.2487
            253                   : 85.5155 -10.9691
            254                   : 85.2282 -9.79972
            255                   : 84.9405 -8.72328
            257                   : 84.3636 -6.79634
            258                   : 84.0743 -5.92522
            259                   : 83.7844 -5.10486
            260                   : 83.4939 -4.32878
            261                   : 83.2027 -3.59152
            262                   : 82.9108 -2.88852
            264                   : 82.3249 -1.56993
            265                   : 82.0307 -0.948065
            266                   : 81.7357 -0.347611
            267                   : 81.4398 0.23361
            269                   : 80.8453 1.34596
            270                   : 80.5465 1.88033
            271                   : 80.2468 2.40199
            272                   : 79.9459 2.91218
            273                   : 79.6439 3.41196
            275                   : 79.0364 4.38404
            276                   : 78.7308 4.85801
            278                   : 78.1156 5.78546
            279                   : 77.8059 6.24019
            280                   : 77.4947 6.68969
            281                   : 77.182 7.13444
            284                   : 76.2341 8.44491
            285                   : 75.9146 8.87517
            286                   : 75.5933 9.30277
            287                   : 75.2701 9.72806
            288                   : 74.9449 10.1513
            289                   : 74.6176 10.5729
            291                   : 73.9565 11.4122
            292                   : 73.6225 11.8305
            293                   : 73.286 12.2481
            294                   : 72.9471 12.6655
            295                   : 72.6055 13.0828
            297                   : 71.9139 13.9181
            298                   : 71.5638 14.3367
            300                   : 70.8539 15.1767
            302                   : 70.1306 16.0223
            304                   : 69.3924 16.8755
            305                   : 69.0172 17.3055
            306                   : 68.6379 17.7383
            307                   : 68.254 18.1739
            309                   : 67.4719 19.0554
            310                   : 67.0731 19.5018
            311                   : 66.6688 19.9524
            312                   : 66.2587 20.4076
            313                   : 65.8424 20.8679
            314                   : 65.4195 21.3335
            315                   : 64.9897 21.805
            316                   : 64.5524 22.2828
            317                   : 64.1073 22.7676
            318                   : 63.6537 23.2598
            321                   : 62.2356 24.7883
            322                   : 61.7412 25.3177
            324                   : 88.3617 -29.6905
            325                   : 88.0764 -25.484
            327                   : 87.5052 -19.3067
            328                   : 87.2193 -16.9661
            329                   : 86.9331 -14.9673
            330                   : 86.6465 -13.2339
            331                   : 86.3597 -11.7099
            332                   : 86.0725 -10.3536
            333                   : 85.7849 -9.13364
            334                   : 85.4969 -8.02569
            335                   : 85.2084 -7.01088
            336                   : 84.9195 -6.07415
            339                   : 84.0495 -3.62372
            340                   : 83.7583 -2.89997
            341                   : 83.4665 -2.21269
            342                   : 83.174 -1.55728
            343                   : 82.8808 -0.929899
            344                   : 82.5869 -0.327255
            345                   : 82.2922 0.253493
            346                   : 81.9967 0.814785
            347                   : 81.7003 1.35872
            348                   : 81.403 1.88715
            349                   : 81.1048 2.40167
            350                   : 80.8056 2.9037
            351                   : 80.5054 3.3945
            352                   : 80.2042 3.8752
            353                   : 79.9018 4.34678
            354                   : 79.5983 4.81012
            355                   : 79.2936 5.26603
            357                   : 78.6805 6.15842
            358                   : 78.3719 6.59614
            361                   : 77.4376 7.88191
            364                   : 76.4893 9.13596
            365                   : 76.1697 9.54874
            366                   : 75.8483 9.95946
            368                   : 75.1998 10.7759
            369                   : 74.8726 11.1823
            370                   : 74.5431 11.5877
            372                   : 73.8776 12.3968
            373                   : 73.5413 12.801
            374                   : 73.2024 13.2052
            375                   : 72.861 13.6098
            376                   : 72.5169 14.0149
            377                   : 72.1699 14.4207
            378                   : 71.8201 14.8275
            379                   : 71.4671 15.2355
            380                   : 71.1109 15.645
            381                   : 70.7514 16.0561
            382                   : 70.3884 16.4691
            383                   : 70.0218 16.8842
            384                   : 69.6513 17.3016
            385                   : 69.2767 17.7217
            387                   : 68.5148 18.5708
            388                   : 68.127 19.0003
            389                   : 67.7343 19.4336
            390                   : 67.3364 19.8708
            392                   : 66.524 20.7589
            393                   : 66.1089 21.2103
            395                   : 65.2588 22.1302
            396                   : 64.823 22.5995
            397                   : 64.3794 23.0758
            398                   : 63.9275 23.5596
            399                   : 63.4666 24.0515
            400                   : 62.9962 24.5523
            401                   : 62.5154 25.0627
            402                   : 62.0234 25.5836
            403                   : 61.5192 26.116
            405                   : 88.3497 -17.5288
            406                   : 88.0623 -14.5667
            407                   : 87.7747 -12.2451
            408                   : 87.4869 -10.3619
            409                   : 87.1988 -8.79106
            411                   : 86.6218 -6.28175
            412                   : 86.3328 -5.24778
            413                   : 86.0435 -4.31937
            416                   : 85.1728 -1.9819
            417                   : 84.8817 -1.31042
            419                   : 84.2977 -0.0801419
            421                   : 83.7114 1.03475
            422                   : 83.4173 1.55862
            423                   : 83.1225 2.06397
            424                   : 82.8269 2.55317
            425                   : 82.5306 3.02818
            426                   : 82.2334 3.49071
            427                   : 81.9355 3.94225
            428                   : 81.6366 4.38402
            430                   : 81.036 5.24266
            431                   : 80.7343 5.66132
            432                   : 80.4314 6.07392
            433                   : 80.1275 6.48114
            434                   : 79.8224 6.88358
            435                   : 79.5162 7.28178
            436                   : 79.2087 7.67622
            438                   : 78.5898 8.45562
            439                   : 78.2783 8.84134
            440                   : 77.9653 9.22489
            442                   : 77.3348 9.98667
            445                   : 76.3766 11.1203
            446                   : 76.0536 11.4967
            447                   : 75.7287 11.8729
            449                   : 75.0729 12.625
            450                   : 74.7419 13.0013
            451                   : 74.4086 13.3782
            453                   : 73.7349 14.1341
            455                   : 73.0512 14.8942
            456                   : 72.7053 15.2763
            457                   : 72.3566 15.6599
            458                   : 72.0048 16.0454
            459                   : 71.65 16.4328
            460                   : 71.292 16.8224
            461                   : 70.9305 17.2144
            462                   : 70.5655 17.6089
            463                   : 70.1968 18.0063
            464                   : 69.8242 18.4066
            465                   : 69.4475 18.8102
            466                   : 69.0666 19.2172
            467                   : 68.6811 19.628
            468                   : 68.2909 20.0427
            469                   : 67.8958 20.4618
            470                   : 67.4954 20.8854
            471                   : 67.0894 21.3139
            472                   : 66.6776 21.7477
            473                   : 66.2595 22.1871
            474                   : 65.8349 22.6325
            476                   : 64.9641 23.5432
            477                   : 64.517 24.0095
            478                   : 64.0613 24.4839
            480                   : 63.1218 25.4594
            481                   : 62.6364 25.9621
            482                   : 62.1395 26.476
            483                   : 61.63 27.002
            484                   : 61.1067 27.5415
            485                   : 60.5683 28.0956
            487                   : 88.0478 -2.2842
            489                   : 87.468 -0.738539
            490                   : 87.1778 -0.113494
            491                   : 86.8872 0.449734
            492                   : 86.5964 0.966952
            493                   : 86.3052 1.44909
            494                   : 86.0136 1.90383
            495                   : 85.7216 2.33693
            496                   : 85.4291 2.75258
            497                   : 85.1362 3.15402
            498                   : 84.8427 3.54374
            500                   : 84.2541 4.29565
            502                   : 83.6631 5.01999
            503                   : 83.3666 5.37437
            504                   : 83.0693 5.72464
            505                   : 82.7713 6.07137
            506                   : 82.4725 6.41511
            507                   : 82.1728 6.75634
            509                   : 81.5709 7.43278
            510                   : 81.2685 7.76866
            511                   : 80.9651 8.10338
            512                   : 80.6606 8.43718
            513                   : 80.355 8.77026
            514                   : 80.0484 9.10286
            515                   : 79.7405 9.43517
            516                   : 79.4314 9.76734
            517                   : 79.121 10.0995
            518                   : 78.8092 10.4319
            520                   : 78.1815 11.0979
            521                   : 77.8654 11.4317
            522                   : 77.5477 11.7662
            524                   : 76.9073 12.4379
            525                   : 76.5845 12.7753
            526                   : 76.2599 13.114
            527                   : 75.9333 13.4539
            528                   : 75.6048 13.7953
            530                   : 74.9414 14.4828
            531                   : 74.6063 14.8292
            532                   : 74.269 15.1775
            533                   : 73.9291 15.5278
            534                   : 73.5868 15.8802
            535                   : 73.2418 16.235
            536                   : 72.894 16.5921
            537                   : 72.5434 16.9518
            539                   : 71.833 17.6794
            541                   : 71.1094 18.419
            542                   : 70.7423 18.7937
            544                   : 69.9967 19.554
            545                   : 69.6177 19.9398
            546                   : 69.2344 20.3298
            547                   : 68.8466 20.7242
            548                   : 68.4539 21.1232
            549                   : 68.0562 21.5271
            550                   : 67.6531 21.9362
            551                   : 67.2443 22.3508
            552                   : 66.8296 22.7712
            553                   : 66.4085 23.1977
            554                   : 65.9806 23.6309
            555                   : 65.5456 24.0711
            556                   : 65.1029 24.5189
            557                   : 64.652 24.9747
            558                   : 64.1924 25.4391
            560                   : 63.244 26.3968
            561                   : 62.7537 26.8915
            562                   : 62.2515 27.3981
            564                   : 61.2066 28.4514
            565                   : 60.6612 29.0008
            566                   : 60.0984 29.5675
            568                   : 88.0328 10.3941
            569                   : 87.7408 9.61148
            570                   : 87.4486 9.07121
            571                   : 87.1561 8.6999
            573                   : 86.5701 8.29437
            574                   : 86.2766 8.20796
            575                   : 85.9827 8.17687
            576                   : 85.6884 8.19007
            577                   : 85.3936 8.23929
            578                   : 85.0983 8.31823
            579                   : 84.8025 8.422
            581                   : 84.2091 8.68943
            582                   : 83.9115 8.84757
            584                   : 83.3142 9.20267
            586                   : 82.7139 9.59981
            588                   : 82.1103 10.0306
            589                   : 81.8071 10.2567
            590                   : 81.503 10.4891
            592                   : 80.8917 10.9709
            593                   : 80.5845 11.2195
            594                   : 80.2761 11.4728
            595                   : 79.9666 11.7306
            596                   : 79.6557 11.9926
            597                   : 79.3437 12.2586
            598                   : 79.0302 12.5285
            599                   : 78.7154 12.802
            600                   : 78.3991 13.0792
            601                   : 78.0813 13.3598
            602                   : 77.7619 13.6438
            603                   : 77.4409 13.9312
            604                   : 77.1181 14.2219
            606                   : 76.4672 14.8129
            607                   : 76.1389 15.1132
            609                   : 75.4762 15.7235
            610                   : 75.1416 16.0335
            611                   : 74.8048 16.3467
            612                   : 74.4656 16.6633
            613                   : 74.1239 16.9831
            614                   : 73.7797 17.3064
            615                   : 73.4328 17.6331
            616                   : 73.0831 17.9633
            617                   : 72.7304 18.2972
            618                   : 72.3748 18.6347
            620                   : 71.6538 19.3214
            621                   : 71.2881 19.6707
            622                   : 70.9188 20.0242
            623                   : 70.5457 20.382
            624                   : 70.1686 20.7444
            627                   : 69.0112 21.8602
            629                   : 68.2154 22.6302
            631                   : 67.3977 23.4236
            632                   : 66.9799 23.8299
            633                   : 66.5556 24.2429
            634                   : 66.1243 24.6632
            635                   : 65.6857 25.0911
            636                   : 65.2392 25.5272
            637                   : 64.7843 25.972
            638                   : 64.3204 26.4261
            639                   : 63.8467 26.8902
            640                   : 63.3625 27.365
            641                   : 62.8669 27.8515
            642                   : 62.3589 28.3506
            643                   : 61.8374 28.8634
            644                   : 61.3009 29.3914
            646                   : 60.1767 30.4993
